date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:45:26	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2017%20Apr%202016%2010:45:26%20GMT	https://ukieweb.com/envato/ukiecard/style3/assets/img/portfolio/p3.png	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/img/portfolio/p3.png	(from https://ukieweb.com/envato/ukiecard/style3/portfolio.html)
13:45:26	869/869	---M--	200	added ('OK')	image/svg+xml	etag:%22365-51b8fb6480600%22	https://ukieweb.com/envato/ukiecard/style3/assets/img/close.svg	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/img/close.svg	(from https://ukieweb.com/envato/ukiecard/style3/assets/css/style.css)
13:45:26	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2017%20Apr%202016%2010:45:26%20GMT	https://ukieweb.com/envato/ukiecard/style3/assets/img/portfolio/p_b3.png	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/img/portfolio/p_b3.png	(from https://ukieweb.com/envato/ukiecard/style3/portfolio.html)
13:45:27	748/748	---M--	200	added ('OK')	image/svg+xml	etag:%222ec-527908513e240%22	https://ukieweb.com/envato/ukiecard/style3/assets/img/close-white.svg	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/img/close-white.svg	(from https://ukieweb.com/envato/ukiecard/style3/assets/css/style.css)
13:45:27	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2017%20Apr%202016%2010:45:27%20GMT	https://ukieweb.com/envato/ukiecard/style3/assets/img/portfolio/p4.png	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/img/portfolio/p4.png	(from https://ukieweb.com/envato/ukiecard/style3/portfolio.html)
13:45:27	1074/1074	---M--	200	added ('OK')	image/svg+xml	etag:%22432-527908513e240%22	https://ukieweb.com/envato/ukiecard/style3/assets/img/search.svg	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/img/search.svg	(from https://ukieweb.com/envato/ukiecard/style3/assets/css/style.css)
13:45:27	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2017%20Apr%202016%2010:45:27%20GMT	https://ukieweb.com/envato/ukiecard/style3/assets/img/portfolio/p_b4.png	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/img/portfolio/p_b4.png	(from https://ukieweb.com/envato/ukiecard/style3/portfolio.html)
13:45:27	10009/10009	---M--	200	added ('OK')	image/gif	etag:%222719-51b8fb6574840%22	https://ukieweb.com/envato/ukiecard/style3/assets/img/loading.gif	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/img/loading.gif	(from https://ukieweb.com/envato/ukiecard/style3/assets/css/style.css)
13:45:49	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2017%20Apr%202016%2010:45:27%20GMT	https://ukieweb.com/envato/ukiecard/style3/assets/img/portfolio/p5.png	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/img/portfolio/p5.png	(from https://ukieweb.com/envato/ukiecard/style3/portfolio.html)
13:45:49	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2017%20Apr%202016%2010:45:28%20GMT	https://ukieweb.com/envato/ukiecard/style3/assets/img/portfolio/p6.png	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/img/portfolio/p6.png	(from https://ukieweb.com/envato/ukiecard/style3/portfolio.html)
